difficulty,daysUntilDeadline,daysSinceCreation,status,assigneeCount,assigneeLoad,statusChangesCount,plannedDurationDays,actualCompletionDays,isDelayed
2,-4,34,in_progress,1,7,6,30,55,1
4,10,5,in_progress,1,5,7,15,25,1
5,-17,31,review,1,1,8,14,28,1
5,21,18,in_progress,1,12,6,39,73,1
3,-13,53,done,1,4,3,40,33,0
2,-18,23,done,1,3,1,5,5,0
5,20,11,in_progress,1,10,8,31,91,1
3,47,7,in_progress,1,8,3,54,91,1
2,7,4,in_progress,1,10,4,11,11,0
1,48,7,cancelled,1,7,1,55,58,1
1,-12,38,new,1,8,5,26,45,1
2,8,2,review,1,1,2,10,9,0
5,16,7,review,1,3,2,23,25,1
5,3,40,review,1,3,0,43,49,1
5,-10,52,in_progress,1,8,5,42,82,1
1,1,25,review,1,12,7,26,47,1
1,4,1,cancelled,1,1,8,5,4,0
1,18,8,done,1,4,0,26,16,0
2,1,46,new,1,12,7,47,57,1
5,-11,71,in_progress,1,4,8,60,116,1
5,-14,28,new,1,6,7,14,26,1
3,4,29,review,1,5,2,33,21,0
5,34,2,review,1,6,5,36,42,1
4,12,5,cancelled,1,3,4,17,33,1
3,-4,13,review,1,1,5,9,11,1
1,16,40,in_progress,1,0,5,56,60,1
1,40,19,in_progress,1,0,8,59,62,1
3,-9,22,done,1,12,8,13,33,1
2,12,17,in_progress,1,2,8,29,32,1
4,-7,13,in_progress,1,8,6,6,15,1
2,-5,54,new,1,3,6,49,62,1
1,-13,18,review,1,8,7,5,6,1
1,-4,50,done,1,8,0,46,42,0
3,-11,14,cancelled,1,1,1,3,2,0
3,15,7,cancelled,1,2,3,22,32,1
1,1,21,cancelled,1,8,8,22,31,1
5,26,14,in_progress,1,8,7,40,57,1
1,-10,24,review,1,0,6,14,14,0
4,40,15,in_progress,1,7,6,55,88,1
2,-2,55,done,1,12,6,53,78,1
4,6,6,new,1,3,4,12,17,1
4,12,48,review,1,0,3,60,49,0
4,-12,56,cancelled,1,11,2,44,81,1
1,25,1,in_progress,0,0,5,26,44,1
5,-10,18,cancelled,1,0,2,8,13,1
1,-7,28,new,1,10,2,21,23,1
3,-17,30,in_progress,1,5,8,13,13,0
2,-12,24,done,1,7,7,12,11,0
5,4,5,done,1,7,5,9,14,1
4,10,35,review,1,4,1,45,36,0
2,2,32,cancelled,1,2,7,34,26,0
3,-14,17,new,0,0,2,3,3,0
3,8,0,cancelled,1,4,3,8,11,1
1,-9,34,review,0,0,6,25,31,1
3,57,0,cancelled,0,0,0,57,109,1
4,-9,55,new,1,1,1,46,61,1
5,-20,26,review,1,1,4,6,12,1
1,-6,44,cancelled,1,4,8,38,51,1
5,44,0,cancelled,1,0,6,44,63,1
5,-1,38,cancelled,1,7,2,37,86,1
4,-7,47,in_progress,1,9,1,40,42,1
1,-17,35,cancelled,0,0,8,18,16,0
2,-10,21,done,1,5,1,11,11,0
4,1,28,review,1,2,7,29,37,1
5,32,13,in_progress,1,10,6,45,64,1
2,8,7,in_progress,1,9,8,15,31,1
2,4,1,done,1,12,7,5,9,1
2,-19,79,review,1,8,2,60,92,1
4,-3,12,review,1,8,6,9,20,1
1,-6,23,done,1,7,2,17,25,1
5,21,8,done,1,1,5,29,45,1
1,-16,28,cancelled,0,0,7,12,12,0
1,24,8,done,1,10,8,32,34,1
4,35,1,new,1,8,8,36,54,1
5,-15,23,done,0,0,4,8,20,1
3,-16,67,in_progress,1,8,3,51,44,0
2,46,5,cancelled,1,3,7,51,38,0
3,10,44,done,1,1,0,54,65,1
2,10,49,review,1,7,4,59,118,1
4,32,8,review,0,0,2,40,39,0
5,8,6,done,1,7,4,14,33,1
1,17,40,new,1,7,5,57,81,1
5,41,1,done,1,6,6,42,91,1
2,39,11,new,0,0,3,50,86,1
1,34,17,new,1,2,1,51,46,0
1,22,13,cancelled,1,9,6,35,43,1
1,-16,22,in_progress,1,11,7,6,10,1
2,-2,34,new,1,2,7,32,28,0
5,-3,34,cancelled,1,3,4,31,63,1
4,13,14,done,1,6,8,27,61,1
3,2,41,cancelled,1,8,3,43,44,1
1,20,31,cancelled,1,10,2,51,82,1
4,4,0,done,0,0,2,4,7,1
2,34,23,done,1,2,7,57,86,1
4,-14,52,cancelled,0,0,2,38,60,1
4,-18,40,review,1,3,2,22,36,1
1,42,18,done,0,0,5,60,100,1
5,-12,17,in_progress,1,3,6,5,11,1
4,-16,23,new,1,2,1,7,8,1
5,40,4,done,0,0,5,44,95,1
1,7,38,cancelled,1,2,6,45,60,1
2,18,26,review,1,1,2,44,23,0
2,-20,27,done,1,7,3,7,6,0
4,11,26,done,0,0,7,37,69,1
3,-11,67,cancelled,1,11,3,56,85,1
3,46,2,done,0,0,3,48,91,1
5,-11,36,done,1,11,8,25,70,1
3,16,5,in_progress,1,9,4,21,33,1
3,-15,27,done,1,5,1,12,15,1
1,-16,28,new,1,6,7,12,17,1
1,-3,23,in_progress,1,5,2,20,10,0
1,13,23,cancelled,0,0,4,36,66,1
3,43,9,review,1,1,7,52,84,1
4,52,7,cancelled,1,5,4,59,92,1
1,-3,63,done,1,12,6,60,125,1
1,-12,55,review,1,2,1,43,36,0
3,-9,18,in_progress,1,2,4,9,12,1
5,-4,7,cancelled,1,10,2,3,7,1
3,12,31,in_progress,1,1,6,43,75,1
4,23,30,in_progress,1,6,2,53,84,1
4,-6,48,cancelled,1,12,8,42,77,1
2,1,9,new,1,1,3,10,13,1
3,-10,13,cancelled,1,2,0,3,4,1
1,13,36,review,0,0,2,49,36,0
3,18,4,new,1,2,8,22,28,1
2,0,20,review,1,10,4,20,21,1
1,-17,30,review,0,0,5,13,10,0
5,4,3,review,1,3,6,7,14,1
5,7,7,cancelled,1,9,2,14,15,1
4,-1,5,in_progress,1,8,7,4,6,1
4,4,1,in_progress,1,6,6,5,9,1
4,10,21,done,1,10,7,31,47,1
3,4,10,cancelled,1,10,3,14,26,1
5,47,7,cancelled,1,6,6,54,128,1
3,-16,58,new,0,0,0,42,80,1
5,-11,28,in_progress,1,6,4,17,37,1
2,6,4,in_progress,1,8,3,10,8,0
3,-1,23,done,1,8,1,22,23,1
3,3,41,cancelled,1,0,3,44,29,0
2,-5,60,review,1,2,3,55,39,0
1,22,25,done,1,10,3,47,61,1
3,5,35,done,1,6,1,40,35,0
3,3,37,new,1,5,3,40,45,1
3,-11,43,review,1,10,1,32,55,1
4,-3,19,in_progress,1,0,0,16,27,1
5,-4,60,new,1,5,0,56,81,1
1,13,8,new,0,0,0,21,14,0
1,-3,37,review,1,6,7,34,48,1
2,27,0,done,1,7,4,27,40,1
4,14,18,review,1,4,4,32,44,1
2,15,0,new,1,7,3,15,15,0
4,-20,78,cancelled,1,11,7,58,140,1
1,8,3,in_progress,1,4,7,11,14,1
1,-16,65,new,1,10,4,49,70,1
1,5,33,new,0,0,5,38,62,1
4,13,16,review,1,2,2,29,31,1
3,-5,53,done,1,9,3,48,46,0
1,1,47,new,1,3,5,48,63,1
2,37,22,cancelled,1,4,6,59,65,1
4,-19,63,in_progress,0,0,1,44,96,1
5,45,5,new,1,10,0,50,66,1
1,26,9,cancelled,1,12,3,35,54,1
3,26,20,review,1,7,2,46,86,1
5,1,40,done,0,0,4,41,95,1
5,-16,33,new,1,8,4,17,25,1
3,-19,72,new,1,12,3,53,59,1
1,30,25,cancelled,1,6,0,55,34,0
3,32,21,review,1,0,4,53,94,1
1,24,10,done,1,1,5,34,26,0
5,12,48,done,1,8,3,60,67,1
1,-6,55,new,1,1,1,49,33,0
1,27,5,new,1,8,7,32,26,0
5,17,39,review,1,1,4,56,111,1
4,11,39,done,1,8,4,50,63,1
2,-7,26,in_progress,1,10,5,19,43,1
5,6,14,review,1,4,8,20,23,1
1,-2,26,new,0,0,1,24,26,1
5,-13,42,in_progress,1,5,0,29,48,1
1,24,0,in_progress,1,7,5,24,40,1
4,9,42,done,1,11,1,51,68,1
2,2,7,new,1,5,5,9,9,0
4,12,37,done,1,5,7,49,86,1
3,-5,31,new,1,5,6,26,22,0
5,32,26,in_progress,0,0,3,58,133,1
5,48,11,done,1,1,1,59,46,0
3,0,5,review,1,9,4,5,9,1
5,-4,37,in_progress,1,11,4,33,49,1
1,24,29,review,1,10,0,53,64,1
2,-1,28,done,1,5,7,27,32,1
3,5,17,review,0,0,1,22,30,1
5,-2,18,new,1,1,7,16,17,1
2,12,15,cancelled,1,1,4,27,41,1
1,10,10,cancelled,0,0,8,20,36,1
2,-19,55,cancelled,1,2,0,36,22,0
2,5,32,new,1,9,0,37,63,1
3,8,9,in_progress,1,4,1,17,25,1
1,42,14,done,1,4,1,56,47,0
1,4,7,new,0,0,5,11,16,1
4,-6,27,review,1,5,3,21,22,1
1,13,20,review,1,3,2,33,15,0
5,10,31,cancelled,0,0,6,41,78,1
4,4,41,in_progress,1,8,3,45,88,1
4,4,8,review,0,0,1,12,17,1
3,0,60,in_progress,1,3,5,60,106,1
1,4,46,review,1,6,3,50,71,1
2,-3,36,review,1,6,0,33,38,1
5,-3,39,done,1,12,2,36,90,1
1,38,5,cancelled,1,3,1,43,27,0
2,-8,40,cancelled,1,1,4,32,45,1
2,51,9,new,0,0,4,60,74,1
2,-10,18,in_progress,1,5,0,8,5,0
1,-10,55,review,1,12,5,45,81,1
4,2,42,review,1,5,6,44,65,1
3,-10,24,new,1,12,2,14,27,1
5,32,10,cancelled,1,7,6,42,86,1
1,5,18,new,1,12,1,23,20,0
1,-9,33,done,1,11,2,24,27,1
2,31,4,in_progress,1,12,6,35,50,1
5,-9,46,in_progress,0,0,7,37,62,1
1,16,14,review,1,9,2,30,30,0
1,-2,25,cancelled,1,6,3,23,18,0
1,-18,72,cancelled,1,8,2,54,36,0
2,-5,10,done,1,11,1,5,7,1
5,-17,69,in_progress,1,1,7,52,66,1
4,-10,46,review,1,1,8,36,65,1
5,-13,69,new,1,8,0,56,79,1
5,2,5,in_progress,1,10,0,7,15,1
2,-16,22,done,1,8,1,6,5,0
2,-19,60,in_progress,1,4,5,41,46,1
2,-1,42,cancelled,1,12,3,41,38,0
1,34,18,done,1,6,2,52,62,1
5,6,9,new,1,9,1,15,19,1
4,5,30,review,1,12,6,35,94,1
2,27,3,done,1,4,6,30,24,0
4,10,20,cancelled,1,3,5,30,27,0
2,7,4,done,1,6,3,11,15,1
5,1,44,review,1,9,7,45,124,1
5,24,15,in_progress,1,12,5,39,54,1
1,25,14,in_progress,1,2,1,39,38,0
4,-5,16,new,1,12,7,11,27,1
2,-1,22,review,1,6,0,21,32,1
5,20,2,new,1,7,0,22,24,1
4,-14,34,new,1,2,3,20,28,1
3,-19,70,done,0,0,6,51,51,0
2,10,9,review,1,9,4,19,21,1
3,-11,49,new,1,2,3,38,47,1
3,57,3,done,1,10,2,60,133,1
1,42,0,cancelled,1,1,7,42,47,1
2,13,15,new,0,0,7,28,52,1
5,-7,24,review,1,0,1,17,19,1
2,15,23,review,1,9,7,38,45,1
1,-5,38,done,1,1,2,33,26,0
2,21,28,in_progress,1,5,1,49,35,0
4,6,30,done,1,6,7,36,66,1
5,-8,28,new,1,7,0,20,35,1
2,3,51,done,1,7,2,54,78,1
2,8,23,review,1,3,3,31,37,1
5,12,1,review,1,4,3,13,14,1
3,2,1,review,1,4,8,3,3,0
5,4,13,done,1,6,6,17,23,1
1,7,5,cancelled,1,9,0,12,13,1
5,34,0,in_progress,1,0,5,34,43,1
3,5,39,review,1,9,5,44,110,1
1,-11,26,review,1,8,6,15,26,1
2,25,8,review,1,2,1,33,18,0
1,36,2,done,1,9,7,38,54,1
4,-8,31,review,1,4,3,23,37,1
4,20,36,in_progress,1,2,6,56,84,1
2,14,2,cancelled,0,0,4,16,32,1
1,-12,21,done,1,3,8,9,8,0
4,-8,11,review,1,2,8,3,6,1
3,-16,61,review,0,0,5,45,106,1
5,-16,28,review,1,10,3,12,22,1
3,2,12,new,1,12,7,14,23,1
1,-11,29,in_progress,1,1,5,18,18,0
5,12,19,in_progress,1,5,3,31,24,0
5,34,8,in_progress,1,6,4,42,60,1
4,-17,24,cancelled,1,0,8,7,12,1
4,-20,57,new,1,0,1,37,31,0
4,4,27,done,0,0,3,31,64,1
3,9,14,done,1,9,5,23,48,1
2,15,44,new,1,1,1,59,69,1
3,-3,63,review,1,2,6,60,98,1
2,16,4,done,1,2,4,20,14,0
4,-13,38,new,1,3,3,25,34,1
2,-3,7,cancelled,0,0,1,4,5,1
5,25,12,review,1,5,4,37,56,1
2,8,4,in_progress,1,6,4,12,15,1
3,2,49,done,1,3,5,51,89,1
5,12,27,cancelled,1,0,3,39,38,0
4,-5,38,in_progress,1,9,3,33,60,1
5,-12,37,cancelled,1,10,0,25,44,1
3,4,19,cancelled,1,3,6,23,40,1
2,3,11,cancelled,1,8,8,14,14,0
2,-1,28,new,1,0,2,27,32,1
1,36,5,in_progress,0,0,6,41,39,0
5,-13,18,new,1,2,4,5,9,1
4,-9,15,cancelled,1,10,1,6,7,1
4,-14,19,in_progress,1,0,2,5,7,1
5,0,11,review,1,7,7,11,19,1
4,32,21,review,0,0,8,53,102,1
3,14,15,new,1,3,1,29,32,1
5,22,21,done,0,0,8,43,110,1
3,-16,25,in_progress,0,0,6,9,10,1
2,-1,60,review,1,2,6,59,38,0
4,14,8,done,1,10,0,22,49,1
1,-11,61,cancelled,1,11,2,50,49,0
5,-7,10,new,1,2,4,3,4,1
1,12,4,new,1,7,2,16,13,0
3,-1,32,in_progress,1,10,7,31,71,1
2,-9,37,in_progress,1,10,8,28,34,1
3,-3,61,review,1,7,7,58,97,1
3,5,5,cancelled,1,6,5,10,12,1
5,17,5,done,0,0,6,22,33,1
5,-1,43,in_progress,1,10,3,42,113,1
5,-20,56,new,1,0,5,36,35,0
3,3,2,cancelled,1,7,3,5,6,1
1,9,38,review,1,1,7,47,61,1
1,18,12,in_progress,1,1,8,30,18,0
4,-12,22,cancelled,1,1,2,10,8,0
1,22,7,review,1,12,1,29,37,1
5,44,11,cancelled,1,3,2,55,58,1
4,-19,25,in_progress,1,8,7,6,8,1
4,-10,33,cancelled,1,4,1,23,35,1
3,-14,33,review,1,3,0,19,27,1
2,10,3,review,1,2,1,13,16,1
5,5,40,done,1,4,1,45,38,0
1,4,37,in_progress,1,12,4,41,74,1
5,-8,18,in_progress,1,8,8,10,15,1
1,-9,66,review,0,0,8,57,100,1
3,-13,24,done,1,12,6,11,24,1
5,21,22,done,1,12,5,43,101,1
2,28,2,review,0,0,1,30,44,1
3,9,20,in_progress,1,7,8,29,56,1
1,1,43,cancelled,1,2,0,44,38,0
5,5,29,new,1,11,0,34,77,1
3,35,16,cancelled,1,6,6,51,55,1
2,-1,5,review,1,1,8,4,6,1
4,-11,45,done,1,5,5,34,65,1
2,-18,74,review,1,1,3,56,55,0
1,6,19,in_progress,0,0,2,25,24,0
3,-10,15,new,1,5,3,5,6,1
4,-10,47,review,1,9,6,37,64,1
5,36,11,done,0,0,1,47,48,1
5,-15,75,done,1,6,7,60,153,1
5,53,2,review,1,2,0,55,89,1
4,15,37,done,1,12,7,52,98,1
2,-15,58,new,1,10,7,43,49,1
5,-8,64,in_progress,1,6,3,56,110,1
4,-10,17,done,1,12,2,7,16,1
2,-20,38,new,1,2,6,18,12,0
3,19,20,review,0,0,8,39,79,1
1,-4,50,new,1,10,7,46,72,1
2,17,40,review,1,10,1,57,95,1
3,35,14,review,1,10,6,49,55,1
2,30,20,review,0,0,6,50,76,1
1,-17,72,new,1,11,5,55,60,1
4,23,22,in_progress,1,11,0,45,97,1
4,16,21,review,1,8,7,37,91,1
4,35,14,cancelled,0,0,5,49,105,1
5,-4,37,cancelled,0,0,5,33,69,1
4,28,0,review,1,5,3,28,28,0
2,-6,18,done,1,6,7,12,24,1
3,40,1,cancelled,1,4,6,41,41,0
4,39,19,review,1,7,6,58,71,1
2,41,5,cancelled,1,8,3,46,60,1
2,0,20,done,1,11,3,20,35,1
1,18,21,done,1,0,2,39,21,0
2,-2,9,done,0,0,1,7,7,0
3,33,15,cancelled,1,10,2,48,68,1
1,-7,27,cancelled,1,3,6,20,23,1
3,6,21,in_progress,1,7,0,27,32,1
2,30,21,cancelled,1,6,6,51,93,1
4,35,25,review,1,12,8,60,78,1
1,36,24,review,1,6,8,60,99,1
4,-6,27,review,1,6,3,21,39,1
4,-17,49,in_progress,1,4,5,32,53,1
2,5,45,done,1,4,8,50,78,1
3,5,29,new,0,0,0,34,56,1
5,-8,13,in_progress,1,6,4,5,12,1
3,4,22,in_progress,1,12,6,26,55,1
4,-9,18,new,1,9,2,9,22,1
3,0,12,in_progress,1,10,2,12,25,1
2,-20,56,in_progress,0,0,4,36,32,0
4,2,5,in_progress,1,6,6,7,14,1
1,28,7,cancelled,1,12,4,35,62,1
4,-4,26,review,1,5,6,22,18,0
5,-13,72,done,1,3,2,59,88,1
5,29,15,cancelled,1,1,1,44,36,0
4,-12,37,done,1,7,6,25,49,1
1,-17,51,done,1,4,5,34,19,0
2,9,12,cancelled,1,7,8,21,37,1
3,-16,70,new,1,11,7,54,101,1
2,-5,21,in_progress,1,9,6,16,17,1
5,-11,49,new,1,4,8,38,45,1
2,-14,21,done,1,5,0,7,4,0
2,-4,12,done,1,12,1,8,10,1
3,9,2,review,0,0,3,11,11,0
5,-15,36,review,1,5,2,21,38,1
5,-3,25,in_progress,1,10,2,22,57,1
1,34,0,in_progress,1,12,7,34,48,1
4,40,8,review,0,0,4,48,72,1
3,-7,53,new,1,0,0,46,59,1
3,4,34,in_progress,0,0,1,38,36,0
5,-14,20,in_progress,1,0,5,6,6,0
3,52,3,review,1,10,7,55,126,1
1,-6,56,new,1,8,5,50,68,1
3,8,4,new,1,2,8,12,18,1
3,20,20,cancelled,0,0,3,40,65,1
2,25,29,in_progress,1,9,2,54,82,1
2,17,7,done,1,2,8,24,33,1
3,-15,75,new,1,12,5,60,79,1
1,-10,20,cancelled,1,7,0,10,12,1
4,11,21,in_progress,1,2,1,32,53,1
3,3,40,in_progress,0,0,0,43,50,1
1,-15,28,done,0,0,8,13,23,1
5,-19,58,in_progress,1,5,0,39,32,0
4,6,40,review,1,5,5,46,38,0
4,10,1,cancelled,1,4,2,11,16,1
4,17,2,in_progress,1,1,6,19,34,1
2,-5,30,new,1,5,1,25,26,1
5,2,44,review,1,0,8,46,98,1
1,12,35,new,1,11,2,47,59,1
3,42,4,in_progress,1,7,2,46,43,0
5,5,28,new,1,0,3,33,55,1
2,-14,40,in_progress,1,5,4,26,36,1
3,-5,28,done,1,9,3,23,34,1
4,18,11,cancelled,1,6,5,29,29,0
3,2,8,cancelled,1,11,6,10,22,1
2,30,0,cancelled,0,0,2,30,53,1
5,12,15,review,1,3,5,27,43,1
5,-2,40,cancelled,1,5,3,38,46,1
3,-1,23,review,0,0,1,22,37,1
1,23,0,in_progress,0,0,0,23,35,1
4,-7,65,in_progress,0,0,1,58,75,1
1,-3,58,new,0,0,1,55,88,1
2,-11,26,cancelled,1,12,1,15,26,1
1,-20,72,cancelled,1,7,2,52,76,1
5,-19,28,in_progress,1,6,8,9,20,1
1,1,50,done,1,11,6,51,44,0
4,1,2,review,1,3,0,3,3,0
4,3,22,in_progress,1,7,5,25,44,1
2,18,40,new,0,0,7,58,126,1
5,16,19,review,0,0,1,35,85,1
1,7,10,in_progress,1,2,5,17,13,0
2,13,35,in_progress,1,6,3,48,68,1
4,19,0,cancelled,1,3,4,19,29,1
4,-13,60,cancelled,0,0,4,47,83,1
3,-1,31,new,1,10,3,30,37,1
5,-2,35,new,1,0,0,33,53,1
4,37,6,done,1,11,7,43,119,1
2,52,0,new,1,12,3,52,46,0
3,-10,65,in_progress,1,11,3,55,122,1
1,2,30,review,1,3,2,32,32,0
2,-1,17,in_progress,1,4,2,16,15,0
1,45,4,in_progress,1,12,7,49,73,1
3,-10,20,cancelled,1,10,1,10,20,1
2,-12,29,new,1,3,2,17,12,0
3,0,34,done,1,9,5,34,84,1
2,51,1,review,1,1,5,52,52,0
5,-3,24,in_progress,1,2,2,21,33,1
5,-20,69,in_progress,0,0,6,49,66,1
3,8,48,review,1,6,2,56,107,1
2,25,17,new,1,9,2,42,82,1
1,13,29,done,0,0,0,42,64,1
2,-3,54,review,1,12,5,51,86,1
5,7,33,new,1,11,1,40,85,1
2,15,21,done,1,2,4,36,54,1
2,2,42,done,1,3,2,44,37,0
1,-4,19,done,1,10,0,15,17,1
5,-20,36,review,0,0,6,16,41,1
5,-19,61,review,0,0,2,42,70,1
4,15,40,cancelled,1,4,6,55,65,1
2,-7,17,new,1,12,0,10,19,1
3,10,21,cancelled,1,5,5,31,23,0
3,-13,68,in_progress,1,3,8,55,51,0
4,38,2,review,0,0,5,40,71,1
3,30,22,review,0,0,5,52,113,1
1,-9,39,cancelled,1,12,3,30,33,1
4,-2,5,cancelled,1,7,8,3,6,1
3,4,16,done,0,0,3,20,35,1
1,17,18,new,1,11,1,35,52,1
1,17,5,cancelled,1,7,4,22,22,0
3,14,22,done,1,4,8,36,58,1
2,-19,43,in_progress,1,4,7,24,30,1
5,28,16,new,1,10,7,44,63,1
3,7,19,new,1,1,6,26,37,1
4,40,1,new,1,7,4,41,92,1
4,31,16,done,1,0,2,47,72,1
2,-4,54,cancelled,1,9,3,50,41,0
4,-7,33,in_progress,1,8,0,26,44,1
5,21,36,cancelled,1,6,3,57,101,1
5,-11,17,in_progress,0,0,7,6,16,1
4,21,5,cancelled,1,2,7,26,23,0
5,32,27,review,0,0,4,59,154,1
1,-7,62,in_progress,1,2,7,55,57,1
1,33,22,review,1,4,3,55,24,0
2,-7,35,review,1,1,2,28,31,1
5,3,22,new,1,9,1,25,39,1
2,12,39,in_progress,1,8,0,51,75,1
4,11,45,review,1,1,4,56,98,1
4,13,25,review,1,4,1,38,49,1
3,8,37,in_progress,1,11,1,45,94,1
2,-14,18,cancelled,0,0,3,4,5,1
3,14,6,cancelled,1,4,0,20,23,1
2,6,11,review,1,8,8,17,17,0
2,-20,29,cancelled,1,4,8,9,14,1
4,30,5,cancelled,0,0,8,35,64,1
1,-18,64,cancelled,1,6,0,46,32,0
5,14,8,in_progress,1,5,5,22,24,1
5,6,51,done,1,9,8,57,154,1
3,27,19,review,1,6,2,46,84,1
4,-20,24,cancelled,0,0,1,4,4,0
5,29,25,done,0,0,5,54,127,1
2,-12,16,done,1,9,0,4,7,1
5,-6,55,review,0,0,8,49,60,1
5,-6,26,in_progress,1,1,8,20,24,1
5,-13,22,review,0,0,7,9,18,1
2,-7,15,new,1,4,3,8,6,0
1,-9,52,in_progress,1,0,7,43,35,0
3,8,31,cancelled,1,7,8,39,62,1
2,-16,30,done,1,6,3,14,18,1
4,8,27,done,1,11,1,35,38,1
1,8,51,new,1,2,0,59,40,0
1,21,8,cancelled,1,8,6,29,30,1
4,24,4,review,1,3,8,28,27,0
5,-5,19,new,1,7,3,14,31,1
2,-2,23,in_progress,1,9,1,21,31,1
3,54,1,review,1,3,2,55,40,0
4,-8,40,new,1,0,5,32,33,1
1,-18,38,review,1,2,6,20,25,1
4,-10,66,review,1,4,7,56,61,1
5,-9,16,review,1,8,3,7,7,0
5,-7,12,review,1,8,1,5,10,1
3,14,42,review,1,4,6,56,63,1
5,-18,48,new,1,10,7,30,65,1
3,8,1,cancelled,1,4,2,9,6,0
3,24,33,done,1,8,3,57,59,1
2,-2,55,in_progress,1,4,2,53,56,1
2,12,4,new,1,2,0,16,11,0
4,-8,30,cancelled,0,0,5,22,24,1
4,8,3,in_progress,1,7,1,11,21,1
1,25,17,done,1,10,3,42,62,1
4,4,24,new,1,0,8,28,50,1
5,-10,44,in_progress,0,0,2,34,39,1
2,-18,24,in_progress,1,2,8,6,8,1
2,-18,55,review,1,9,4,37,45,1
1,12,34,new,1,8,7,46,60,1
3,0,30,in_progress,0,0,2,30,43,1
1,5,29,in_progress,1,0,1,34,28,0
5,4,6,new,0,0,8,10,15,1
5,39,5,review,1,2,2,44,67,1
2,-12,70,cancelled,0,0,4,58,90,1
4,-13,24,in_progress,1,3,2,11,18,1
4,-19,48,in_progress,1,6,0,29,63,1
3,0,42,review,0,0,8,42,47,1
2,-11,24,in_progress,1,5,5,13,9,0
3,16,44,review,1,6,6,60,110,1
2,-20,31,in_progress,1,0,3,11,6,0
2,2,4,new,1,4,7,6,7,1
